,Platform_ORF,logFC,AveExpr,F,P.Value,adj.P.Val,GO.Function,GO.Component,GO.Process,Gene.symbol,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
1024,orf19.11757,0.19109663,0.58840337,6.032389911,0.022780773,0.086361714,transcription coregulator activity///transcription regulatory region sequence-specific DNA binding,nuclear chromatin,regulation of ribosomal protein gene transcription by RNA polymerase II///positive regulation of transcription by RNA polymerase II///rRNA transcription,IFH1,Contig20202:complement(123883..122306),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1025,orf19.11208,0.272299985,-0.508299985,6.031749369,0.022786881,0.086362211,small ribosomal subunit rRNA binding,small-subunit processome///nucleolus///small-subunit processome,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",NA,Contig20190:complement(11851..11042),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1026,orf19.12507,0.106397332,-0.706647332,6.026947298,0.022832737,0.086477217,single-stranded DNA binding///structural constituent of nuclear pore///phospholipid binding,nuclear pore///nuclear pore central transport channel,nuclear pore organization///mRNA export from nucleus in response to heat stress,ASM4,Contig20217:9312..11090,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1027,orf19.9786,-0.751961355,0.050211355,6.022938501,0.022871104,0.086541057,molecular_function,cellular_component,biological_process,NA,Contig20143:complement(30831..30061),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1028,orf19.9200,0.193335254,-1.066335254,6.013515373,0.022961604,0.086834492,catalytic activity,cellular_component,biological_process,DCW2,Contig20123:61435..62652,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1029,orf19.10129,-0.079234887,-0.378515113,6.008822261,0.023006841,0.086956521,"proton-transporting ATPase activity, rotational mechanism","fungal-type vacuole membrane///vacuolar proton-transporting V-type ATPase, V1 domain",proton transmembrane transport,VMA4,Contig20151:complement(109220..108582),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1030,orf19.9380,-1.027512268,-0.275525199,6.410095174,0.023033642,0.08699738,NA,NA,NA,NA,Contig20131:1036..1356,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1031,orf19.9729,0.315316756,-0.456566756,5.992681804,0.023163258,0.087350758,ATPase activity///ATP binding///ATPase activity///ATP binding,nucleus,ribosome biogenesis///ribosomal small subunit export from nucleus///cellular response to drug,KRE30,Contig20141:46470..48299,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1032,orf19.13889,-0.057204821,0.623704821,5.987548953,0.023213275,0.087494523,GTPase activator activity///actin filament binding///myosin light chain binding///myosin II heavy chain binding///myosin II light chain binding///calmodulin binding///cytoskeletal protein binding,"mitotic spindle pole body///actomyosin contractile ring, proximal layer///cellular bud neck///cytoplasm///cellular bud neck contractile ring///medial cortical node///MIH complex///mitotic actomyosin contractile ring///cellular bud neck contractile ring",regulation of small GTPase mediated signal transduction///regulation of GTPase activity///small GTPase mediated signal transduction///mitotic actomyosin contractile ring assembly///mitotic actomyosin contractile ring localization///actin filament bundle convergence involved in mitotic contractile ring assembly///protein localization to cell division site///negative regulation of actin filament depolymerization///mitotic contractile ring actin filament bundle assembly///regulation of mitotic actomyosin contractile ring contraction///protein localization to cell division site involved in mitotic actomyosin contractile ring assembly///actin filament bundle assembly///positive regulation of actin filament polymerization///mitotic actomyosin contractile ring assembly actin filament organization///protein localization to medial cortex///actomyosin contractile ring localization///actomyosin contractile ring assembly,IQG1,Contig20248:complement(154741..149798),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1033,orf19.9301,-0.516921662,-0.039828338,5.987430529,0.023214431,0.087494523,NA,NA,NA,UTP20,Contig20123:complement(271942..270323)///Contig20123:complement(270204..268342),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1034,orf19.12886,0.112719134,0.685030866,5.985736425,0.023230969,0.087525571,molecular_function,cellular_component,biological_process,NA,Contig20227:complement(101821..101114),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1035,orf19.10657,0.1043504,-0.6938504,5.985234544,0.023235871,0.087526132,molecular_function,cellular_component,biological_process,NA,Contig20168:996..1754,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1036,orf19.12210,0.132869405,-0.768869405,5.981138595,0.023275927,0.087644191,U2 snRNA binding///nucleotide binding///U2 snRNA binding,U2 snRNP///U2-type prespliceosome///spliceosomal complex,"mRNA splicing, via spliceosome///mRNA splicing, via spliceosome",MSL1,Contig20215:complement(47203..46808),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1037,orf19.13087,-0.330593627,0.649843627,5.973131324,0.023354479,0.087808475,molecular_function,cellular_component,biological_process,NA,Contig20231:14295..14708,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1038,orf19.12950,-0.018696578,-0.518053422,5.971873154,0.023366851,0.087838574,nucleic acid binding///nucleotide binding,cellular_component,biological_process,NAB6,Contig20228:27647..30913,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1039,orf19.12938,0.208755192,0.474744808,5.963157034,0.023452784,0.088095752,GTP binding///mitochondrial ribosome binding///GTPase activity///GTPase activity,mitochondrial matrix,positive regulation of translation,GUF1,Contig20228:complement(8974..7100),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1040,orf19.9586,0.272688007,-1.437232578,6.360793417,0.023464196,0.088099764,molecular_function,cellular_component,biological_process,NA,Contig20139:88980..90236,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1041,orf19.10482,0.145478875,-0.464728875,5.962456278,0.02345971,0.088099764,ATP binding///unfolded protein binding///guanyl-nucleotide exchange factor activity///ATPase activity///ATPase activity,GET complex,"posttranslational protein targeting to endoplasmic reticulum membrane///retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum///response to heat///response to metal ion///protein insertion into ER membrane///ATP-independent chaperone mediated protein folding///pheromone-dependent signal transduction involved in conjugation with cellular fusion",NA,Contig20163:82121..83173,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1042,orf19.9429,0.173885469,-0.387135469,5.952960289,0.023553808,0.088332106,molecular_function,cellular_component,biological_process,NA,Contig20135:complement(23814..23482),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1043,orf19.9930,-0.639229685,-0.101270315,5.948444848,0.023598716,0.088359876,"transferase activity, transferring acyl groups other than amino-acyl groups///zinc ion binding///aldehyde dehydrogenase (NAD+) activity",intracellular,oxidation-reduction process///response to furfural,NA,Contig20148:20024..21109,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1044,orf19.9357,0.137902736,-0.580152736,5.949423361,0.023588976,0.088359876,protein kinase inhibitor activity,membrane///nucleus///nucleolar preribosome,"ribosome biogenesis///regulation of microtubule cytoskeleton organization///maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///ribosomal large subunit assembly///maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///ribosomal large subunit biogenesis///regulation of actin cytoskeleton organization",MAK11,Contig20126:complement(8596..7121),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1045,orf19.9399,0.663660737,-0.807660737,5.948365754,0.023599504,0.088359876,molecular_function,cellular_component,biological_process,NA,Contig20133:complement(1436..312),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1046,orf19.11854,0.180260637,0.469989363,5.935186848,0.023731182,0.088664625,molecular_function,cellular_component,biological_process,NA,Contig20203:complement(62031..61294),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1047,orf19.10295,-0.593654769,-0.665595231,5.931445652,0.023768728,0.088735701,molecular_function,cellular_component,biological_process,NA,Contig20159:complement(3350..2808),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1048,orf19.10682,0.232914536,0.553335464,5.931745174,0.023765719,0.088735701,molecular_function,cellular_component,biological_process,NA,Contig20170:complement(26961..26593),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1049,orf19.10676,-0.070233138,0.647233138,5.92405153,0.023843147,0.088908203,protoheme IX farnesyltransferase activity///prenyltransferase activity,integral component of membrane,heme O biosynthetic process///heme A biosynthetic process,COX10,Contig20170:complement(16779..15394),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1050,orf19.8742,-0.043534124,0.498034124,5.921181581,0.02387211,0.088973039,"transferase activity, transferring acyl groups other than amino-acyl groups///oxidoreductase activity",mitochondrion,aerobic respiration,ETR1,Contig20097:25354..26433,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1051,orf19.11910,0.429421269,0.336828731,5.871539978,0.024379992,0.090371768,protein kinase activity///ATP binding///protein tyrosine kinase activity,cytoplasmic stress granule///nucleus///cytoplasm,TOR signaling///regulation of translation in response to stress///cellular protein localization///protein phosphorylation///regulation of pseudohyphal growth///regulation of filamentous growth///negative regulation of macroautophagy///cellular response to drug///protein phosphorylation,KSP1,Contig20205:16785..19637,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1052,orf19.8678,0.126065474,0.510434527,5.867729361,0.024419525,0.090460897,nucleoside-triphosphatase activity///ATPase activity///ATP binding///ATPase-coupled transmembrane transporter activity///ATPase-coupled transmembrane transporter activity///ATP binding///ATPase-coupled transmembrane transporter activity///ATPase-coupled transmembrane transporter activity,integral component of membrane///mitochondrial inner membrane///mitochondrion///integral component of membrane,iron import into the mitochondrion///iron-sulfur cluster assembly///transport,ATM1,Contig20090:complement(6942..5074),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1053,orf19.11020,0.225475235,0.378774765,5.834779533,0.024764674,0.091385326,acetylglucosaminyltransferase activity,Golgi medial cisterna,protein N-linked glycosylation,GNT1,Contig20183:complement(24213..22789),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1054,orf19.8550,0.616933399,-0.520933399,5.828623512,0.024829822,0.091554876,molecular_function,cellular_component,biological_process,NA,Contig20080:47220..48281,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1055,orf19.8513,-0.285307838,-0.642942163,5.823871504,0.024880256,0.091643718,guanyl-nucleotide exchange factor activity,Golgi apparatus///RIC1-RGP1 guanyl-nucleotide exchange factor complex///Golgi membrane///guanyl-nucleotide exchange factor complex,"retrograde transport, endosome to Golgi",RGP1,Contig20076:complement(215180..213135),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1056,orf19.8963,0.3169027,-0.8054027,5.804806031,0.025083872,0.092207984,molecular_function,cellular_component,biological_process,NA,Contig20113:57103..59046,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1057,orf19.12345,-0.309313329,0.610313329,5.8013726,0.025120758,0.092276124,single-stranded DNA binding///TFIIH-class transcription factor complex binding///RNA polymerase II complex binding,transcription preinitiation complex///transcription factor TFIIE complex///transcription factor TFIIE complex,transcription initiation from RNA polymerase II promoter///transcription by RNA polymerase II,TFA2,Contig20215:complement(331048..330194),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1058,orf19.10201,-0.00026762,-0.49848238,5.800342705,0.025131836,0.09228311,carboxypeptidase activity,fungal-type vacuole lumen,nitrogen compound metabolic process///proteolysis involved in cellular protein catabolic process,CPS1,Contig20158:51030..52772,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1059,orf19.7887,0.027740649,-0.832990649,5.794059293,0.02519955,0.092481106,"DNA-binding transcription factor activity, RNA polymerase II-specific///zinc ion binding",host cell nucleus///nucleus,"regulation of transcription, DNA-templated///growth of symbiont in host",NA,Contig20046:complement(46516..43985),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1060,orf19.13349,-0.004560267,-0.619689733,5.790794422,0.025234822,0.092576774,structural constituent of ribosome///protein kinase activator activity///structural constituent of ribosome///structural constituent of ribosome,cytosolic large ribosomal subunit///ribosome,translational elongation///cytoplasmic translation///positive regulation of protein kinase activity///translation,RPP2B,Contig20236:137451..137786,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1061,orf19.8810,0.101209131,0.662290869,5.780386729,0.025347671,0.092889123,ammonium transmembrane transporter activity///acetate transmembrane transporter activity,integral component of membrane///plasma membrane///plasma membrane,plasma membrane acetate transport///nitrogen utilization///ammonium transport,ADY2,Contig20103:7379..8230,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1062,orf19.13676,0.251207645,-0.659707645,5.766930092,0.0254945,0.09310954,pseudouridine synthase activity///RNA binding///pseudouridine synthase activity,nucleus///cytoplasm,tRNA pseudouridine synthesis///mRNA pseudouridine synthesis,DEG1,Contig20242:complement(32924..31611),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1063,orf19.8730,0.049776462,-0.908026462,5.766117635,0.025503398,0.093120503,thymidylate kinase activity///ATP binding///thymidylate kinase activity///uridylate kinase activity///nucleoside diphosphate kinase activity,nucleus///cytoplasm,dTDP biosynthetic process///nucleoside diphosphate phosphorylation///dTDP biosynthetic process///dTTP biosynthetic process///dUDP biosynthetic process,CDC8,Contig20097:complement(4951..4277),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1064,orf19.10469,-0.049985616,0.589735616,5.764317807,0.025523124,0.093175616,"glucan exo-1,3-beta-glucosidase activity",cell surface///cell surface///anchored component of plasma membrane///fungal-type cell wall,carbohydrate metabolic process,EXG1,Contig20163:complement(54744..53305),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1065,orf19.13901,-0.00124809,-0.79900191,5.763630685,0.02553066,0.093186214,"2 iron, 2 sulfur cluster binding///ATPase activator activity///iron-sulfur cluster carrier activity///iron ion binding///zinc ion binding///iron-sulfur cluster binding///ferrous iron binding///iron-sulfur cluster binding///iron ion binding",mitochondrial matrix,tRNA wobble uridine modification///cellular iron ion homeostasis///iron-sulfur cluster assembly///[2Fe-2S] cluster assembly///iron-sulfur cluster assembly///iron-sulfur cluster assembly,ISU1,Contig20248:171361..171924,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1066,orf19.13429.3,-0.314581852,0.696831852,5.762660157,0.025541309,0.093208168,NA,NA,NA,NA,Contig20237:complement(1332..859),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1067,orf19.9576,-0.186040569,0.593540569,5.744576923,0.025740722,0.093664004,peptide-methionine (S)-S-oxide reductase activity///L-methionine-(S)-S-oxide reductase activity///peptide-methionine (S)-S-oxide reductase activity,cytoplasm,oxidation-reduction process///cellular response to oxidative stress///L-methionine salvage from methionine sulphoxide,MXR1,Contig20139:77960..78517,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1068,orf19.10180,-0.299488333,-0.522011667,5.74021475,0.025789112,0.093789185,molecular_function,cellular_component,biological_process,NA,Contig20155:51175..53181,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1069,orf19.9418,-0.173582403,-0.886417597,5.733852249,0.025859893,0.09394469,molecular_function,intracellular///fungal biofilm matrix,RNA metabolic process,NA,Contig20135:4715..5080,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1070,orf19.14120,-0.206490237,-0.521259763,5.732509103,0.025874866,0.093953709,molecular_function,"preribosome, small subunit precursor///preribosome, large subunit precursor",rRNA processing///rRNA processing,RRP1,Contig20254:complement(225118..224291),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1071,orf19.11657,0.161713432,-0.460713432,5.704732184,0.026186913,0.094758243,peptidase activity///peptidase activity,signal peptidase complex///integral component of membrane///signal peptidase complex///plasma membrane,signal peptide processing///protein targeting to ER///signal peptide processing,SPC2,Contig20200:41179..41688,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1072,orf19.11574,0.029139792,-0.559639792,5.705021237,0.026183642,0.094758243,large ribosomal subunit rRNA binding,"nucleolus///PeBoW complex///nucleus///nucleolus///preribosome, large subunit precursor","pathogenesis///pathogenesis///cellular response to drug///filamentous growth///cellular response to starvation///negative regulation of filamentous growth///maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///ribosomal large subunit biogenesis",NOP7,Contig20196:complement(48394..46631),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1073,orf19.11684,0.095345721,0.533904279,5.705998832,0.026172583,0.094758243,recombinase activity///single-stranded DNA binding///DNA/DNA annealing activity///double-stranded DNA binding///DNA end binding///DNA binding,nuclear chromosome///site of double-strand break///nucleus///nucleus,double-strand break repair via single-strand annealing///DNA strand renaturation///DNA amplification///DNA recombinase assembly///cellular response to DNA damage stimulus///postreplication repair///telomere maintenance via recombination///strand invasion involved in gene conversion at mating-type locus///double-strand break repair via break-induced replication///negative regulation of meiotic joint molecule formation///negative regulation of DNA binding///meiotic joint molecule formation///mitotic recombination///mating type switching///replication fork processing///mitochondrial DNA repair///double-strand break repair via homologous recombination///mitotic recombination-dependent replication fork processing///telomere maintenance///double-strand break repair via single-strand annealing///DNA recombinase assembly///double-strand break repair via homologous recombination///telomere maintenance///pathogenesis///pathogenesis///DNA repair///mitotic recombination///cellular response to oxidative stress///filamentous growth of a population of unicellular organisms///filamentous growth of a population of unicellular organisms///cellular response to drug///negative regulation of filamentous growth of a population of unicellular organisms///cellular response to ionizing radiation///cellular response to UV///cellular response to UV///phenotypic switching///filamentous growth///filamentous growth,RAD52,Contig20201:22123..23817,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1074,orf19.11457,-0.212599931,0.843099931,5.702982201,0.026206727,0.094810847,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor///1-pyrroline-5-carboxylate dehydrogenase activity///1-pyrroline-5-carboxylate dehydrogenase activity",mitochondrial matrix,oxidation-reduction process///proline biosynthetic process///glutamate biosynthetic process///proline catabolic process to glutamate///proline catabolic process to glutamate,PUT2,Contig20194:complement(149178..147529),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1075,orf19.12283,-0.030394602,-0.612605398,5.689588846,0.026358984,0.095173392,molecular_function,cellular_component,biological_process,NA,Contig20215:220870..222492,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1076,orf19.11252,0.392230333,-0.479480333,5.689056107,0.026365063,0.095178255,transcription coactivator activity,mediator complex///mediator complex,negative regulation of transcription by RNA polymerase II///positive regulation of transcription by RNA polymerase II///positive regulation of transcription by galactose,NA,Contig20192:2..3595,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1077,orf19.10835.3,-0.020400444,-0.452099556,5.684319119,0.026419189,0.095305235,NA,NA,NA,RPS21B,Contig20173:complement(69920..69681),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1078,orf19.11904,0.017175378,-0.568675378,5.682952276,0.026434833,0.095316876,protein-macromolecule adaptor activity,integral component of peroxisomal membrane///endoplasmic reticulum///peroxisome///peroxisomal membrane,ER-dependent peroxisome organization///protein import into peroxisome membrane///peroxisome inheritance///ER-dependent peroxisome organization///fatty acid metabolic process///protein import into peroxisome membrane///protein targeting to peroxisome,PEX3,Contig20205:8074..9465,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1079,orf19.12828,-0.334062807,0.404062807,5.679877461,0.026470065,0.095403219,thiol-dependent ubiquitin-specific protease activity///aminoacyl-tRNA hydrolase activity,ribosome///cytosol///Cdc48p-Npl4p-Vms1p AAA ATPase complex///mitochondrion///endoplasmic reticulum membrane,mitochondria-associated ubiquitin-dependent protein catabolic process///nuclear protein quality control by the ubiquitin-proteasome system///ubiquitin-dependent ERAD pathway,NA,Contig20225:complement(139514..137901),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1080,orf19.7975,0.335792671,-1.099292671,5.678481001,0.026486086,0.095426762,mannosyltransferase activity,cellular_component,biological_process,NA,Contig20046:complement(205664..203709),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1081,orf19.14081,-0.244866822,0.430866822,5.662538933,0.026669824,0.09577995,signaling adaptor activity,outer plaque of mitotic spindle pole body,astral microtubule organization///initial mitotic spindle pole body separation///meiotic chromosome segregation///establishment of spindle localization///positive regulation of exit from mitosis,NUD1,Contig20254:complement(139439..135657),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1082,orf19.11930,0.322424011,-0.361174011,5.647088391,0.026849395,0.096252999,"DNA-binding transcription factor activity, RNA polymerase II-specific///zinc ion binding///DNA-binding transcription factor activity",host cell nucleus///nucleus,regulation of transcription by RNA polymerase II,NA,Contig20205:81593..83293,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1083,orf19.12382,-0.093662512,0.463162512,5.628740313,0.027064579,0.096800143,molecular_function,cellular_component,biological_process,NA,Contig20216:complement(9675..8263),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1084,orf19.8632,0.188666433,-0.459416433,5.619264716,0.027176538,0.097049666,peptidyl-prolyl cis-trans isomerase activity///peptidyl-prolyl cis-trans isomerase activity///macrolide binding,nucleus///nucleolus,protein folding///nucleosome assembly///meiotic recombination checkpoint,FPR3,Contig20087:8640..9926,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1085,orf19.11367,-0.039864135,-0.523885865,5.612296084,0.02725924,0.097213202,molecular_function,cellular_component,biological_process,NA,Contig20193:complement(65002..63599),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1086,orf19.10450,-0.568055106,-1.253194894,5.610656533,0.027278743,0.097237625,thiol-dependent ubiquitin-specific protease activity,cellular_component,"regulation of transcription, DNA-templated///protein deubiquitination",NA,Contig20163:complement(21894..20893),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1087,orf19.11892,-0.109007974,0.564007974,5.609277845,0.027295156,0.097278892,molecular_function,cellular_component,biological_process,NA,Contig20204:31988..33157,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1088,orf19.9230,-0.248980133,-0.711269867,5.606728553,0.027325537,0.097318197,nucleic acid binding///ATP binding///RNA helicase activity///inositol hexakisphosphate binding///RNA-dependent ATPase activity,cytoplasmic stress granule///nucleus///cellular bud tip///cytoplasm///nuclear pore cytoplasmic filaments///polysome,mRNA export from nucleus///poly(A)+ mRNA export from nucleus///translational termination///tRNA export from nucleus,DBP5,Contig20123:114035..115633,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1089,orf19.8458,-0.284934487,-0.858065513,5.601182283,0.027391778,0.09750232,diphthine-ammonia ligase activity,cellular_component,peptidyl-diphthamide biosynthetic process from peptidyl-histidine///cellular response to drug,NA,Contig20076:complement(100447..99077),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1090,orf19.10083,-0.06780934,0.85430934,5.599865542,0.027407533,0.097523886,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///zinc ion binding///methionine synthase activity///5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///zinc ion binding,nucleus///extracellular region///fungal biofilm matrix///cell surface///hyphal cell wall///fungal-type cell wall///fungal-type cell wall,methionine biosynthetic process///adenine biosynthetic process///L-methionine biosynthetic process from homoserine via O-acetyl-L-homoserine and cystathionine///methionine biosynthetic process///methionine metabolic process///induction by symbiont of host defense response///methionine biosynthetic process///methionine metabolic process///cellular response to heat,MET6,Contig20151:complement(49349..47046),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1091,orf19.8398,-0.518246583,0.299996583,5.58915729,0.027536076,0.097877393,chromatin binding,"condensed nuclear chromosome///condensed nuclear chromosome, centromeric region","synaptonemal complex assembly///meiotic sister chromatid cohesion///reciprocal meiotic recombination///protein localization to chromosome, centromeric region///meiotic DNA double-strand break formation///positive regulation of cohesin unloading///homologous recombination",SPO69,Contig20073:53559..55670,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1092,orf19.11630,0.198899916,-0.884149916,5.579054648,0.02765803,0.098206755,NA,NA,NA,ULA1,Contig20198:38626..40251,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1093,orf19.8944,-0.008758269,0.558258269,5.570212628,0.027765312,0.098359287,molecular_function,membrane,negative regulation of cAMP-mediated signaling///induction of conjugation upon nitrogen starvation,NA,Contig20113:complement(20671..19634),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1094,orf19.8953,0.295112415,-0.539862415,5.570350718,0.027763632,0.098359287,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",membrane///cytoplasm,phosphatidylinositol dephosphorylation///phosphatidylinositol dephosphorylation///fungal-type cell wall organization///pathogenesis///filamentous growth of a population of unicellular organisms in response to neutral pH///filamentous growth///cellular response to neutral pH///phosphatidylinositol dephosphorylation,INP51,Contig20113:41568..44468,GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
1095,orf19.10491,0.008360496,-0.618610496,5.567906608,0.027793375,0.098409389,SNAP receptor activity///palmitoyltransferase activity,integral component of membrane///endosome///membrane///fungal-type vacuole///Golgi apparatus///SNARE complex///extracellular vesicle,"vesicle fusion///endoplasmic reticulum to Golgi vesicle-mediated transport///intra-Golgi vesicle-mediated transport///vacuole fusion, non-autophagic///vacuole inheritance///filamentous growth of a population of unicellular organisms in response to biotic stimulus///filamentous growth///cellular response to biotic stimulus",YKT6,Contig20163:complement(106107..105505),GSE50881,Yeast,candida albicans,SC5413,SPACEFLOWN,Microarray,0,4
